Algorithm,Cost,Time,BKS
Standard,578.8635688697176,1.9932997226715088,524.61
Standard,562.9441799302751,0.682098388671875,524.61
Standard,573.2908852542233,0.6701228618621826,524.61
Standard,554.4205361251381,0.6919972896575928,524.61
Standard,565.5948985108859,0.6779360771179199,524.61
Standard,586.6973336620684,0.6828687191009521,524.61
Standard,601.6324748540658,0.6496214866638184,524.61
Standard,563.1582495398442,0.6834590435028076,524.61
Standard,595.4658245706047,0.6799161434173584,524.61
Standard,560.7879087736567,0.6835324764251709,524.61
Standard,553.4106292766022,0.6690499782562256,524.61
Standard,570.3583850460674,0.6790709495544434,524.61
Standard,564.6321063851912,0.6796250343322754,524.61
Standard,563.5913883419142,0.6818444728851318,524.61
Standard,573.6909485390167,0.6654815673828125,524.61
Standard,568.3415128933384,0.681182861328125,524.61
Standard,550.7053789418322,0.6791868209838867,524.61
Standard,580.6373284023822,0.6484081745147705,524.61
Standard,567.4460852316772,0.6840379238128662,524.61
Standard,564.2330190243251,0.6714951992034912,524.61
Hybrid,542.8686921400924,0.5572779178619385,524.61
Hybrid,574.1857539397915,0.48647570610046387,524.61
Hybrid,528.7478632003285,0.589146614074707,524.61
Hybrid,554.0146240629731,0.5582907199859619,524.61
Hybrid,552.0873382390297,0.5915238857269287,524.61
Hybrid,541.6773108490228,0.5304172039031982,524.61
Hybrid,542.708811199355,0.554851770401001,524.61
Hybrid,536.6952912632785,0.5851624011993408,524.61
Hybrid,574.9965284303972,0.5209414958953857,524.61
Hybrid,530.7508782155631,0.5424683094024658,524.61
Hybrid,550.1812579009006,0.7228410243988037,524.61
Hybrid,588.4442265334247,0.5840394496917725,524.61
Hybrid,568.8389182567856,0.6306142807006836,524.61
Hybrid,542.9286006550537,0.5489504337310791,524.61
Hybrid,556.3590139820417,0.6308407783508301,524.61
Hybrid,547.6102017607495,0.500138521194458,524.61
Hybrid,555.1854586951122,0.6137137413024902,524.61
Hybrid,567.735781394735,0.5345537662506104,524.61
Hybrid,572.8124960642506,0.614293098449707,524.61
Hybrid,558.411272040014,0.5075159072875977,524.61
